pred_xmin,pred_ymin,pred_xMax,pred_yMax,pred_length,pred_width,pred_height,pred_theta,pred_sin_theta,pred_cos_theta,filename,class,gt_xmin,gt_ymin,gt_xMax,gt_yMax,gt_length,gt_width,gt_height,gt_theta,gt_sin_theta,gt_cos_theta
1026,662,1485,1015,4.243,1.567,1.489,1.284,0.85,-1.317,2017_0713_141736_077_001055,car,1050,702,1452,996,4.10753,1.66336,1.57788,1.17988,0.9245602947720427,0.38103577434544567
84,652,486,936,1.532,0.53,1.52,1.359,0.717,-1.592,2017_0713_141736_077_001055,car,135,680,473,946,4.16886,1.59514,1.45737,-1.26286,-0.9529610828996907,0.30309268298434516
922,709,1165,866,3.925,1.353,1.525,1.499,0.148,-1.02,2017_0713_141736_077_001055,car,923,709,1148,863,4.25804,1.63164,1.69137,1.33689,0.972768413793734,0.23177923359356983
5,717,51,762,1.479,0.442,1.576,1.389,0.457,-1.202,2017_0713_141736_077_001055,car,0,723,69,770,1.94215,1.05601,1.21387,0.640006,0.5972002539261898,0.8020921746972067
850,713,953,910,5.792,1.955,2.208,1.549,0.122,-2.781,2017_0713_141736_077_001055,cyclist,850,705,954,920,1.73421,0.38301,1.60592,1.41244,0.9874878167482879,0.15769531309997692
1597,622,1780,927,2.547,0.928,1.556,1.527,0.154,-1.734,2017_0713_141736_077_001055,cyclist,1558,606,1829,935,1.41541,0.599977,1.70113,1.53874,0.9994862399538015,0.032050836853534194
124,663,456,898,2.869,1.231,1.581,1.537,0.14,-2.06,2017_0713_141736_077_001041,car,143,681,466,943,4.08015,1.56649,1.60467,-1.31073,-0.966372924679796,0.257144648876498
825,744,890,794,6.027,1.953,2.246,1.525,0.239,-2.593,2017_0713_141736_077_001041,car,824,745,889,797,4.23098,1.65222,1.65839,1.46473,0.9943802386820176,0.10586756310926267
676,699,747,761,4.082,1.64,1.661,1.54,0.066,-1.076,2017_0713_141736_077_000665,car,681,713,745,769,4.06924,1.68006,1.68039,1.56909,0.9999985442247877,0.0017063259668870258
953,501,1311,879,0.555,0.435,1.614,1.11,1.076,-0.816,2017_0713_141736_077_000665,bus,928,516,1319,890,9.56757,2.29416,2.49736,1.44134,0.9916322257779216,0.12909503785477233
872,711,934,855,1.67,0.465,1.478,1.339,0.836,-1.672,2017_0713_141736_077_000665,cyclist,877,700,936,839,1.50209,0.430359,1.57505,-1.49729,-0.9972996261729523,0.07344015002224287
752,709,841,889,1.85,0.673,1.479,1.559,0.047,-1.922,2017_0713_141736_077_000665,cyclist,739,695,825,884,1.69827,0.722646,1.69259,-1.51535,-0.9984632461859025,0.05541792143259983
507,666,652,957,1.505,0.641,1.591,1.548,0.108,-2.34,2017_0713_141736_077_000665,cyclist,526,695,648,927,1.67609,0.514708,1.61912,-1.36806,-0.9795192851921771,0.20135036611987167
1442,675,1482,733,3.955,1.56,1.588,1.567,0.014,-2.001,2017_0713_141736_077_000665,pedestrian,1442,675,1486,741,0.497219,0.459976,1.47351,1.15777,0.9159103027751293,0.40138300570698165
6,677,403,1000,5.675,1.981,2.566,-1.523,-0.223,-2.324,2017_0713_141736_077_000935,car,11,702,404,1013,3.6562,1.40335,1.34952,-1.22754,-0.9416637261710882,0.33655523590278874
659,752,705,790,4.29,1.631,1.503,1.362,0.558,-1.255,2017_0713_141736_077_000935,car,650,742,704,787,4.20453,1.78883,1.62043,1.56215,0.9999626207493483,0.008646219063556069
841,688,956,787,5.991,1.988,2.467,1.57,0.003,-2.264,2017_0713_141736_077_000935,truck,833,694,928,796,6.25878,2.23261,2.91653,1.48551,0.9963653251776879,0.08518297238040128
739,726,799,785,6.045,1.939,2.219,1.567,0.022,-2.778,2017_0713_141736_077_000935,tricyclist,737,740,781,784,3.57554,1.46375,1.66716,-1.56909,-0.9999985442247877,0.0017063259668870258
1171,521,1234,569,4.021,1.331,1.617,-1.476,-0.282,-1.473,2017_0715_174605_079_002125,car,1179,526,1233,559,4.23921,1.75131,1.4692,-1.32601,-0.9701891306131661,0.24234902690142748
1372,515,1489,613,4.255,1.678,1.697,-1.491,-0.208,-1.3,2017_0715_174605_079_002125,tricyclist,1376,518,1492,609,3.95652,1.52598,1.80358,1.42971,0.9900638225381562,0.1406187302642658
583,646,686,738,4.228,1.762,1.55,1.539,0.171,-2.715,2017_0710_135547_057_000511,car,573,649,674,733,4.13107,1.79829,1.53139,-1.528,-0.9990843769681484,0.04278326422991503
502,636,570,700,4.217,1.777,1.486,1.529,0.186,-2.235,2017_0710_135547_057_000511,tricyclist,507,645,569,706,4.66957,1.7162,1.89584,-1.49237,-0.996926231600086,0.07834595552835943
1024,662,1464,980,3.88,1.51,1.5,1.506,0.126,-0.967,2017_0713_141736_077_001046,car,1051,703,1408,953,4.24337,1.51387,1.51753,1.2261,0.941178110482097,0.33791088225943483
0,605,424,991,4.182,1.558,1.406,1.268,0.863,-1.245,2017_0713_141736_077_001046,car,0,635,396,992,4.09992,1.59802,1.57104,-1.22661,-0.941350322624368,0.3374308374985877
915,713,1141,857,1.978,0.715,1.612,1.526,0.148,-1.663,2017_0713_141736_077_001046,car,929,708,1140,859,4.34521,1.65197,1.66109,1.39354,0.984331187756638,0.1763295573907177
438,572,846,999,2.309,0.954,1.661,1.542,0.116,-2.026,2017_0713_141736_077_001046,van,480,608,791,969,4.7357,1.753,1.91509,-1.49335,-0.9970025319002759,0.07736893035604969
806,719,886,857,4.296,1.674,1.562,1.183,0.972,-0.99,2017_0713_141736_077_001046,cyclist,803,725,880,850,1.50683,0.560491,1.46076,1.25707,0.9511902125337778,0.30860521638486055
459,712,635,848,1.547,0.564,1.656,0.56,0.645,0.312,2017_0713_141736_077_000959,car,464,735,596,834,4.23599,1.62735,1.51459,-1.43485,-0.9907735211128356,0.13552796708308398
619,731,666,771,4.055,1.412,1.489,1.568,0.01,-1.985,2017_0713_141736_077_000959,car,622,740,667,773,4.19887,1.48944,1.27697,1.49968,0.9974722996281642,0.07105639643622395
156,722,243,783,4.116,1.522,1.524,1.567,0.012,-1.621,2017_0713_141736_077_000959,car,149,732,227,776,4.08354,1.64833,1.47233,-1.26966,-0.9550000648850095,0.2966055900849267
904,686,1017,911,1.649,0.444,1.512,1.464,0.53,-2.432,2017_0713_141736_077_000959,cyclist,905,710,999,914,1.834,0.436084,1.60944,1.31051,0.9663163294712748,0.257357244695312
1338,602,1629,1106,1.367,0.547,1.613,0.256,0.525,0.931,2017_0713_141736_077_000959,cyclist,1345,646,1658,1060,1.10443,0.552593,1.63095,-0.0338388,-0.033832342435606434,0.9994275224373801
1069,705,1329,850,3.612,1.405,1.577,1.513,0.199,-1.726,2017_0713_141736_077_001005,car,1085,723,1295,844,4.20505,1.5643,1.54234,1.28292,0.9588489833013082,0.2839165849717969
469,727,519,829,0.407,0.519,1.666,1.45,0.328,-1.335,2017_0713_141736_077_001005,cyclist,473,725,523,821,1.43225,0.48372,1.60403,-1.2494,-0.9487952551322744,0.315891696374695
568,726,643,878,1.455,0.522,1.59,1.116,1.112,-0.864,2017_0713_141736_077_001005,cyclist,572,723,647,896,1.4922,0.602342,1.50439,-1.45585,-0.9934009417058617,0.11469336954640033
796,722,840,761,3.912,1.315,1.414,-1.016,-1.252,-0.623,2017_0713_141736_077_001005,tricyclist,795,720,834,760,3.35091,1.66628,1.91738,1.35536,0.9768832120113211,0.2137736889573746
7,631,65,702,0.828,0.541,1.608,1.478,0.373,-1.986,2017_0710_135547_057_000181,car,0,633,61,688,3.0439,1.02809,1.38977,-1.35307,-0.9763911092559695,0.21601018903259483
161,589,330,695,0.786,0.57,1.66,1.509,0.272,-2.175,2017_0710_135547_057_000181,bus,167,587,329,691,12.2849,2.74477,3.38534,-1.24881,-0.9486087139044168,0.31645143056179786
671,635,740,697,3.483,1.263,1.492,1.459,0.418,-1.833,2017_0710_135547_057_000181,tricyclist,676,623,735,694,6.81778,1.96515,2.52266,1.56217,0.9999627934737371,0.00862621980941304
630,658,652,689,2.509,1.022,1.523,1.405,0.554,-1.61,2017_0710_135547_057_000181,tricyclist,633,658,662,686,2.32732,1.33443,1.69943,-0.838898,-0.7439071239369108,0.6682830171087049
753,645,803,744,4.177,1.538,1.533,-1.268,-1.094,-1.582,2017_0710_135547_057_000181,pedestrian,753,647,800,733,0.564609,0.693785,1.83662,1.4543,0.9932219737316064,0.1162330026141119
572,625,804,824,4.252,1.665,1.384,-1.557,-0.07,-2.508,2017_0710_135547_057_000127,car,578,636,790,828,4.18718,1.67778,1.48394,-1.52041,-0.9987308775722361,0.050365009518425784
0,525,446,1019,4.351,1.627,1.498,-1.385,-0.642,-1.645,2017_0710_135547_057_000127,car,0,585,405,993,4.15871,1.66198,1.54747,-1.43553,-0.9908654510565205,0.13485420980658427
1764,645,1894,759,2.66,0.962,1.119,-1.478,-0.247,-1.318,2017_0713_141736_077_001188,car,1728,651,1915,754,4.00884,1.55952,1.46336,1.13918,0.9082907631784479,0.4183394429464101
937,716,1124,858,3.112,1.117,1.502,1.542,0.084,-1.446,2017_0713_141736_077_001188,car,946,731,1120,844,4.18817,1.63161,1.48671,1.34275,0.9741099301377989,0.22607486372202593
219,640,300,690,3.993,1.48,1.509,-1.318,-0.656,-1.183,2017_0710_135547_057_000272,car,215,641,289,682,4.10851,1.52757,1.44794,-1.3108,-0.966390922437589,0.2570770021418213
359,650,418,684,4.134,1.392,1.486,-1.215,-0.889,-1.031,2017_0710_135547_057_000272,car,371,651,419,679,4.86417,1.07701,1.58094,1.50643,0.9979292030823744,0.06432189079448034
131,641,204,692,4.18,1.423,1.547,-1.344,-0.479,-0.981,2017_0710_135547_057_000272,car,121,642,199,687,4.18486,1.49439,1.54883,-1.26936,-0.9549110402343162,0.2968920767528432
833,511,1260,867,0.475,0.485,1.648,0.896,1.635,-0.368,2017_0713_141736_077_000673,bus,843,528,1263,846,11.9839,2.49379,2.94241,1.36101,0.9780754346921386,0.20825091608870297
748,711,772,763,12.291,2.577,2.805,1.395,0.662,-1.802,2017_0713_141736_077_000673,cyclist,754,721,773,766,1.27635,0.437616,1.6578,-1.49312,-0.9969847106757341,0.07759823888995676
626,638,737,738,4.005,1.478,1.447,-1.523,-0.189,-1.956,2017_0710_135547_057_000190,car,642,648,739,747,4.2038,1.77225,1.70445,1.55218,0.9998267211928216,0.018615251510841074
343,638,440,717,4.172,1.726,1.566,1.543,0.15,-2.723,2017_0710_135547_057_000190,car,336,645,454,718,4.03944,1.49798,1.57469,-1.50892,-0.9980862707961222,0.06183685024554304
0,508,397,950,2.465,0.903,1.386,1.507,0.185,-1.452,2017_0710_135547_057_000190,van,0,491,382,962,4.32465,1.69363,1.73529,-1.27501,-0.9565732300100078,0.2914921193243837
708,349,1269,894,4.464,1.682,1.751,-1.529,-0.179,-2.151,2017_0710_135547_057_000190,bus,781,367,1240,832,9.67248,2.3521,2.8315,1.34131,0.9737833724895474,0.22747734714226686
1247,620,1306,746,4.02,1.568,1.407,-1.508,-0.267,-2.129,2017_0710_135547_057_000190,pedestrian,1259,598,1320,730,0.43871,0.468941,1.60475,1.34939,0.9755895822224923,0.2196018375582111
749,534,789,569,3.603,1.351,1.433,1.568,0.008,-1.787,2017_0715_174605_079_002237,car,749,529,794,569,3.93519,1.3684,1.99855,1.5274,0.9990585271759682,0.04338270711914149
98,526,400,683,1.338,0.505,1.533,1.543,0.087,-1.586,2017_0715_174605_079_002199,car,85,511,406,691,4.10932,1.59265,1.53629,-1.05669,-0.8707325399062384,0.4917568951712125
908,509,995,574,3.22,1.44,1.707,-1.252,-0.431,-0.582,2017_0715_174605_079_002199,car,906,489,997,570,4.01642,1.73591,1.60822,1.55626,0.9998943494620478,0.014535814867708975
0,528,130,675,1.413,0.572,1.491,-0.156,-0.525,1.631,2017_0715_174605_079_002199,car,0,553,166,681,4.00464,1.58932,1.3954,-1.18809,-0.9276574039338621,0.3734323779838692
1762,537,1830,658,3.718,1.603,1.615,-0.944,-1.238,-0.406,2017_0715_174605_079_002199,cyclist,1750,504,1818,654,1.18677,0.482395,1.65104,1.31263,0.9668597549160979,0.2553080772783799
613,744,692,795,2.908,0.979,1.444,-1.515,-0.165,-1.478,2017_0713_141736_077_001131,car,617,739,688,796,4.21508,1.76263,1.60169,-1.4767,-0.9955762061537077,0.09395753157991173
108,721,202,779,0.448,0.528,1.686,-0.521,-1.216,0.709,2017_0713_141736_077_001131,car,109,730,205,773,4.19958,1.45081,1.54608,-1.18335,-0.9258769199921804,0.37782526255637494
861,729,955,808,0.463,0.502,1.66,-0.623,-0.434,0.146,2017_0713_141736_077_001131,car,857,727,942,798,4.18434,1.69891,1.6268,1.52321,0.9988679843921368,0.047568369284537226
479,726,525,765,4.068,1.639,1.636,-1.552,-0.068,-1.811,2017_0713_141736_077_001131,car,482,740,525,771,3.32669,1.19977,1.16891,-1.45202,-0.9929543811338162,0.11849724463952806
958,711,1048,880,4.106,1.637,1.49,-1.521,-0.163,-1.617,2017_0713_141736_077_001131,cyclist,950,711,1040,875,1.80434,0.456341,1.59021,1.27928,0.9578091770384257,0.2874049066751884
1239,698,1294,789,3.55,1.149,1.526,1.506,0.204,-1.555,2017_0713_141736_077_001131,pedestrian,1240,700,1299,787,0.80473,0.664656,1.67403,1.44482,0.9920754710774953,0.12564338297883318
310,639,446,730,4.082,1.565,1.631,-1.23,-1.147,-1.414,2017_0710_135547_057_000336,car,290,625,460,745,4.28298,1.48227,1.62998,-1.33156,-0.9715192187204023,0.2369607724010438
169,634,254,686,4.09,1.56,1.632,1.501,0.258,-1.835,2017_0710_135547_057_000336,car,176,647,241,687,4.15076,1.51859,1.48122,-1.28734,-0.9600945243074225,0.27967571291569837
966,636,1360,876,1.428,0.667,1.572,1.547,0.084,-1.733,2017_0710_135547_057_000336,car,1001,660,1365,848,4.43372,1.59395,1.32911,1.14831,0.9120722933418073,0.41002942786855706
709,650,736,704,2.195,0.864,1.506,1.509,0.224,-1.793,2017_0710_135547_057_000336,cyclist,716,657,741,711,1.56555,0.62797,1.60758,1.46971,0.9948951264787391,0.10091425721301087
818,651,891,790,4.261,1.641,1.5,1.414,0.546,-1.685,2017_0710_135547_057_000336,cyclist,813,646,872,801,1.45128,0.551382,1.60785,1.41456,0.9878199114798457,0.15560148612384692
1241,682,1639,894,2.743,1.0,1.509,1.366,0.478,-1.099,2017_0713_141736_077_001011,car,1266,698,1617,873,4.06151,1.6433,1.42512,1.02381,0.8540958567642454,0.5201156289308655
485,745,611,837,4.145,1.652,1.467,0.831,0.808,-0.074,2017_0713_141736_077_001011,car,479,737,622,839,4.20796,1.42088,1.44019,-1.26572,-0.9538240293737051,0.30036597841518137
846,680,966,786,1.508,0.864,1.366,1.512,0.181,-1.531,2017_0713_141736_077_001011,bus,844,688,958,794,11.9183,2.68246,3.07793,1.4497,0.9926767955352362,0.12080057783758606
528,733,611,896,1.293,1.104,1.157,0.673,1.081,0.246,2017_0713_141736_077_001011,cyclist,527,727,610,895,1.6692,0.485369,1.59138,-1.37284,-0.9804705460742311,0.19666598150391712
744,745,775,806,0.487,0.496,1.631,1.054,0.597,-0.355,2017_0713_141736_077_001011,cyclist,743,743,771,806,1.16081,0.644262,1.55104,1.54788,0.9997374324742037,0.02291432106537686
677,748,709,800,2.822,1.049,1.515,1.428,0.372,-1.263,2017_0713_141736_077_001011,cyclist,674,743,701,798,1.40987,0.713332,1.68819,-1.39333,-0.9842941368453554,0.1765362630505606
779,741,807,767,10.459,2.386,2.686,1.542,0.134,-2.292,2017_0713_141736_077_001011,tricyclist,773,741,798,765,1.43922,1.14841,0.809806,0.94022,0.8076878342266685,0.5896103479775722
439,708,526,777,4.161,1.663,1.573,1.538,0.077,-1.154,2017_0713_141736_077_000837,car,429,708,528,781,4.49403,1.7526,1.69697,1.29005,0.9608489190487759,0.27707283295696633
997,694,1133,778,0.453,0.511,1.662,1.416,0.426,-1.329,2017_0713_141736_077_000837,car,1000,710,1110,785,4.08562,1.76101,1.56819,1.46031,0.9939025922874656,0.11026167531946879
750,720,792,753,0.395,0.471,1.679,1.299,0.712,-1.179,2017_0713_141736_077_000837,car,752,718,795,750,4.16379,1.6242,1.35736,-1.50373,-0.9977518967385017,0.0670160619159476
922,718,970,754,0.393,0.465,1.641,1.436,0.399,-1.447,2017_0713_141736_077_000837,car,920,718,965,753,4.04307,1.28501,1.58634,1.48042,0.9959188387821063,0.09025334652466376
967,710,1029,826,0.377,0.535,1.697,1.437,0.212,-0.774,2017_0713_141736_077_000837,cyclist,968,713,1025,823,1.66428,0.636021,1.53027,1.41066,0.9872055548614108,0.15945279066474213
1377,648,1430,747,1.67,0.58,1.492,1.441,0.402,-1.512,2017_0713_141736_077_000837,pedestrian,1375,667,1415,747,0.325006,0.489353,1.74104,1.4174,0.9882578354289338,0.1527954538372084
1335,665,1383,755,3.742,1.478,1.39,1.467,0.301,-1.426,2017_0713_141736_077_000837,pedestrian,1338,672,1379,747,0.345248,0.506768,1.69293,1.4994,0.9974523647365081,0.07133568589105954
1459,646,1515,750,3.446,1.343,1.329,1.44,0.273,-1.022,2017_0713_141736_077_000837,pedestrian,1455,662,1504,754,0.573372,0.495129,1.73615,1.44234,0.991760824978189,0.128103341246753
893,667,1024,732,4.421,1.591,1.511,-1.043,-1.141,-0.648,2017_0710_135547_057_000169,car,853,664,1004,732,3.96941,1.7024,1.43298,-1.09213,-0.8876099962679894,0.46059580385099014
1456,614,1582,720,4.43,1.566,1.588,-1.2,-0.909,-0.994,2017_0710_135547_057_000169,car,1452,625,1567,729,4.05005,1.69394,1.56373,-1.45889,-0.9937450187087052,0.11167290536040975
601,650,780,743,2.159,2.617,1.013,0.617,1.633,0.571,2017_0710_135547_057_000169,car,633,665,832,744,4.11005,1.6803,1.60667,-0.689919,-0.6364747092066613,0.7712975719787377
1031,653,1143,712,1.999,1.718,0.95,0.826,0.764,-0.063,2017_0710_135547_057_000169,car,1000,655,1125,712,4.23693,1.72291,1.50265,-1.10659,-0.8941771852146659,0.44771325805874573
1247,649,1309,683,4.087,1.65,1.534,1.567,0.015,-1.798,2017_0710_135547_057_000169,car,1259,646,1306,680,3.6296,1.36055,1.41392,-1.43404,-0.9906634184482667,0.13633044908748193
1102,650,1206,707,0.517,0.478,1.643,1.497,0.254,-1.714,2017_0710_135547_057_000169,car,1115,655,1194,699,4.05458,1.47474,1.48737,-1.20115,-0.9324551809822467,0.36128567015502505
248,663,287,696,0.383,0.503,1.708,1.468,0.219,-1.054,2017_0710_135547_057_000169,car,248,665,289,694,3.7839,1.179,1.7456,1.40641,0.9865189668544186,0.16364696158649128
1194,644,1274,686,0.321,0.517,1.727,-1.569,-0.006,-1.51,2017_0710_135547_057_000169,car,1184,642,1258,688,4.22276,1.5415,1.61495,-1.28074,-0.958227767220258,0.2860061994574225
1716,588,1765,682,3.896,1.351,1.423,-1.392,-0.512,-1.371,2017_0710_135547_057_000169,pedestrian,1721,587,1761,662,0.412646,0.474362,1.69373,-1.45899,-0.9937561810304976,0.11157353030033998
1680,598,1727,680,3.825,1.526,1.494,-0.517,-0.716,0.426,2017_0710_135547_057_000169,pedestrian,1693,603,1732,672,0.390978,0.44404,1.55608,-1.47283,-0.9952051361007958,0.09780969828496817
487,671,520,720,4.164,1.509,1.508,-0.878,-1.098,-0.205,2017_0710_135547_057_000169,pedestrian,487,677,518,720,0.46379,0.510733,1.50464,1.36159,0.9781960557044146,0.20768359734058411
5,604,560,1066,5.431,1.968,2.129,1.53,0.215,-2.64,2017_0713_141736_077_000990,car,22,673,510,1033,3.94757,1.44742,1.48855,-1.22559,-0.9410056535394048,0.3383908391296634
881,731,996,822,4.32,1.58,1.435,1.447,0.376,-1.487,2017_0713_141736_077_000990,car,886,738,998,818,4.20969,1.77154,1.59047,1.42308,0.9891097671981629,0.1471797147476377
466,721,622,837,4.297,1.616,1.475,1.527,0.136,-1.554,2017_0713_141736_077_000990,car,460,716,625,835,4.21051,1.55255,1.56732,-1.3803,-0.9819103784374872,0.18934626670930357
852,741,908,787,5.838,2.015,2.149,1.537,0.185,-2.702,2017_0713_141736_077_000990,car,848,741,911,786,4.08961,1.67764,1.44674,1.53726,0.9994377100954451,0.033530040846574606
652,697,764,814,4.38,1.696,1.472,1.533,0.156,-2.054,2017_0713_141736_077_000990,tricyclist,644,721,753,805,4.23356,1.7753,1.78624,-1.46131,-0.9940123569931534,0.10926771776199858
596,745,658,791,1.727,0.609,1.59,1.491,0.275,-1.699,2017_0713_141736_077_001135,car,595,745,646,779,3.21698,1.1255,1.51774,1.55922,0.9999329950772589,0.01157606823678074
812,727,926,815,1.423,0.501,1.443,0.278,0.376,0.605,2017_0713_141736_077_001135,car,833,733,928,809,4.06736,1.75076,1.64431,1.49307,0.9969808295175603,0.07764808802847208
624,744,691,793,3.366,1.38,1.712,-0.935,-1.561,-0.481,2017_0713_141736_077_001135,car,633,747,694,793,4.23911,1.61575,1.38946,1.56351,0.9999734548383608,0.007286262322541726
208,725,339,803,1.453,0.472,1.447,-0.899,-0.533,-0.123,2017_0713_141736_077_001135,car,207,730,320,796,4.08716,1.52043,1.58246,-1.25607,-0.9508811317737605,0.3095562521362672
